,Feature,Importance
6014,PPP2R5C,0.0009630229
5368,FIS1,0.0009601136
9204,NFATC3,0.0009577818
9332,RGS1,0.00095743936
7398,ARHGAP26,0.00095599366
5671,MEF2D,0.00095056667
9217,LRRC37A,0.00094151375
8642,CHMP7,0.0009410495
4245,S100A6,0.0009305032
158,BTN3A2,0.0009192131
347,CHKB,0.000918003
9879,TMEM66,0.0009090305
950,SLC38A1,0.0009087646
6155,NRD1,0.0009026887
8989,ATXN1,0.00089326146
3985,ELAC2,0.00089306844
1354,IRF2BPL,0.0008919566
3294,GPX4,0.00089183706
4036,BMS1,0.0008907392
7918,CBX6,0.0008857385
5506,SAP30BP,0.00087958435
5897,FCHSD1,0.0008755693
1694,HSF1,0.0008754311
9869,CAPZA1,0.000874881
9806,TUBB,0.000872932
5848,TRIM27,0.0008688895
290,MYH9,0.00085956533
8168,PLEKHB2,0.0008585828
6221,UBA52,0.00085455
7667,PDE7A,0.00085215864
511,PRPF3,0.0008487413
1046,FLOT2,0.00084747816
9424,HDAC2,0.00084391487
8915,MAGEH1,0.0008438346
5278,ZNF814,0.00084163714
91,SLAMF7,0.0008393925
9791,GSPT1,0.0008341777
4158,DUSP4,0.0008173995
3640,NIN,0.0008153603
1188,GDI1,0.00081388396
4139,PRKCB,0.0008133394
3041,CD96,0.00081210415
9956,CHMP4A,0.0008120323
3827,HIST2H2AA4,0.0008071417
1412,PDHB,0.0008069361
1745,PABPC1,0.0008040554
7884,EIF5A,0.00079957244
462,PSMB8,0.00079562544
997,HSP90AA1,0.00078692305
2677,LPIN2,0.0007837765
4345,SZRD1,0.0007834955
859,PDXDC1,0.0007695196
9227,ARID1A,0.00076661573
1036,TRAPPC2,0.00076635444
3192,AGL,0.00076474267
8166,IL18BP,0.0007634461
9749,FAM49B,0.0007628663
4140,HIGD2A,0.00075456954
34,FAM159A,0.0007531808
702,SSR3,0.00075221923
9801,PTPRC,0.0007478106
3560,GYPC,0.0007468175
2041,PSMA3,0.0007427521
6084,KDM2B,0.0007388152
7775,RAB7L1,0.00073390815
8888,S100A10,0.0007326488
5190,HBP1,0.000730452
21,TMEM106C,0.0007257148
42,ADAR,0.0007223565
5410,METTL15,0.0007215709
2213,SRSF5,0.00071953255
9264,IL10RA,0.0007193117
8677,ACSL4,0.0007189405
3934,PDIA3,0.0007141808
9446,LAMTOR4,0.0007138046
7549,TRABD,0.00070225296
2350,PLXNA3,0.00069940626
7698,TP53INP1,0.00069689786
8510,FBXL5,0.0006939691
7096,DEK,0.00069157704
4621,STK17B,0.000689282
4795,COX4I1,0.00068805896
426,MAPRE1,0.0006836903
83,ZNF706,0.00068021374
1192,SSR2,0.0006766475
6643,TGFBR3,0.00067651045
1034,SENP6,0.0006754248
5148,SPATA13,0.0006677642
9462,SDF2,0.00066451385
1402,SMARCA2,0.00066422275
7590,SRGN,0.0006591849
3072,SRGAP2,0.0006535964
3989,RDH11,0.00065321487
8575,RNF167,0.00065129565
2832,NDUFA3,0.0006498412
5584,AHSA1,0.00064912543
8068,EIF3D,0.0006406866
2901,ATP6V0D1,0.00063599576
9965,PYCARD,0.0006353422
420,RAB1B,0.0006330151
1566,LRPPRC,0.0006307197
9896,SUPT16H,0.00062973023
2453,MVP,0.00062757655
6846,PSMB3,0.0006269356
2347,IQSEC1,0.0006257987
5218,NPIPB11,0.0006257456
3870,SERBP1,0.00062311493
3342,ZC3HAV1,0.0006181994
639,OASL,0.00061587436
8530,H3F3C,0.00061586034
8471,DOK2,0.0006117972
6702,UBXN4,0.0005970402
4220,BCL2L1,0.000595979
7108,FAIM3,0.00059148937
4923,KLRC4-KLRK1,0.00058900117
8290,CD46,0.0005885889
8859,IMP4,0.0005826649
7004,RALGAPA1,0.0005757873
6735,PPP1R7,0.00057530985
2936,AL627309.1,0.00057502696
4834,HNRNPL,0.0005736907
4942,S1PR1,0.00057283544
3370,CDC42EP3,0.0005689438
5099,HIST2H2AA3,0.0005670437
7231,TCEB2,0.00056632824
7390,ARL6IP5,0.0005600109
9935,CBWD1,0.00055997295
7316,PCF11,0.00055817375
1933,UNKL,0.0005570595
1262,MPC2,0.0005544176
2779,SCAMP2,0.00055296166
9370,DTNBP1,0.0005517339
2435,SUPT20H,0.0005490256
7247,STAT4,0.000548419
411,INPP4B,0.0005470162
471,USP6NL,0.00054685405
5534,YTHDF1,0.0005451544
7147,LRRC58,0.0005435401
5369,ABLIM1,0.00053683255
5509,ANKRD44,0.00053273904
9638,TPP2,0.00053169276
7452,PAQR3,0.00052964507
1141,PXK,0.00052842166
2846,EIF4A2,0.00052625587
797,UGGT1,0.0005163532
8788,DOCK10,0.00051596685
102,MRFAP1L1,0.00051111844
2305,NAE1,0.0005079404
2767,ACTR3,0.00050546
3426,NR3C1,0.0005043595
6269,VPS28,0.0005022726
2180,BRD3,0.0005012434
9990,LBH,0.0004981488
78,HELQ,0.0004965309
1348,SMNDC1,0.0004923854
219,C10orf54,0.0004922915
2618,APTX,0.00049152353
9276,RPP30,0.00049014046
2875,C6orf62,0.00048953656
6639,PTGES3,0.00048831885
876,RIT1,0.0004848338
233,PKN2,0.00048468204
9957,TMA7,0.00048172302
2002,SH3TC1,0.00047391938
7995,CTSW,0.00047115894
1017,FAM107B,0.0004666005
4855,BECN1,0.0004653331
6568,GNB2L1,0.00046513506
4337,MYL6,0.00046509356
712,FAM69A,0.0004623674
2845,ERAP2,0.0004615774
7743,RAB1A,0.0004576052
5968,PCM1,0.0004575247
5180,UBA1,0.00045613482
2603,LEF1,0.00045342874
9728,VPS13D,0.0004517656
8492,ANKIB1,0.0004470901
5232,ARHGAP15,0.00044592665
4238,SQRDL,0.00044432143
1480,FYTTD1,0.00044176527
4177,RNF168,0.00044028703
3098,CAP1,0.00043944243
866,CALM3,0.00043501097
1339,CNIH4,0.000434227
4931,PRCP,0.00043245225
8203,SSR4,0.0004302534
1815,ATM,0.00042669103
9850,C15orf39,0.0004257482
4908,ZNHIT1,0.0004216446
4943,C19orf53,0.0004215311
9099,DENR,0.00041842912
155,ATF7IP,0.00041763866
3166,OGDH,0.0004150056
8730,CD247,0.00041177418
9506,CD6,0.00041039023
3831,EVL,0.00040748998
1264,CTNNB1,0.00040545248
5241,TSC22D4,0.00040472735
2216,FOSL2,0.0004044418
8970,CYCS,0.00040158292
2105,KIAA1551,0.0004003068
8366,RBM6,0.00040024097
4235,ARHGAP4,0.00039914073
5152,DLAT,0.00039717907
7055,TCERG1,0.0003961693
